Kennzeichen	Tatdatum	Briefdatum	Geburtstag	Uhrzeit	Telefon	Anrede	Verwarngeld	Endbetrag	Aktenzeichen	Vorname	Nachname	Ort	Austeller	Vergehen
MAK -T 2709	14.08.19	16.10.2019	18.03.97	01:18	06334/425 6233	Herr	3.043,00	3.051,00	4.14.7-9-8	Julia	Hofmann	Groß Ellenberg	Städteregion München	Sie überholten mit einem Kraftfahrzeug mit einer zulässigen Gesamtmasse über 7,5 t, obwohl die Sichtweite durch Nebel, Schneefall oder Regen weniger als 50 m betrug.
KK-P 7848	02.09.2019	28.10.2019	03.08.98	4:53	+49 5419 / 519563	Frau	2.865,00	2.874,00	CK6|865-8.9	Thomas	Schmidt	Biberbach	Landeshauptstadt Bielefeld	Sie parkten unzulässig trotz Parkverbotsschild.
ECK -SK 423	22.09.2019	26.10.2019	03.01.1997	12:21	08751-53790	Herr	1.844,00	1.851,00	1-86DC2J	Lisa	Wagner	Tobringen	Stadt Paderborn	Sie überschritten die zulässige Höchstgeschwindigkeit mit Schneeketten außerhalb geschlossener Ortschaften um XXX km/h.
MÜ YV 1181	11.08.2019	30.10.19	06.02.1997	01:26	(0526)/598885	Frau	696,00	706,00	W.B/GK1S	Lena	Schmidt	Schönow	Universitätsstadt Hamburg	Sie parkten auf dem Seitenstreifen mit Verkehrsbehinderung.
KUS-NO 1643	18.09.19	12.10.19	03.01.99	20:36	07728-377267	Frau	2.865,00	2.875,00	1.H/EL2	Ben	Fischer	Lechbruck	Stadtamt Berlin	Sie führten das Kraftfahrzeug/den Anhänger und verstießen dabei gegen die Vorschrift über Warndreieck, Warnleuchte bzw. Warnblinkanlage.
RA F 6972	18.08.2019	22.10.2019	18.02.98	13:04	+49 9523/333-2244	Herr	2.288,00	2.296,00	U|9-W/G.I	Steffen	Schmidt	Passade	Landeshauptstadt Berlin	Sie parkten unzulässig auf Haltestellen (Bus oder Taxi) länger als 3 Stunden mit Verkehrsbehinderung.
HE L 4511	29.09.2019	02.10.19	02.10.97	10:33	+49 476-104316	Herr	2.515,00	2.521,00	H/V.Q.YO9	Thomas	Schneider	Weida	Lutherstadt Bremen	Sie benutzten vorschriftswidrig nicht die Fahrbahn.
MN Y 7056	17.08.19	12.10.19	05.08.00	04:39	+49 6354-388 1101	Herr	2.753,00	2.763,00	O-M-Y.1|2AO	Steffen	Fischer	Eggstätt	Landeshauptstadt Paderborn	Sie überholten bei unklarer Verkehrslage und folgten nicht der durch Pfeile vorgeschriebenen Fahrtrichtung (Zeichen 297). Es kam zum Unfall.
SDH -K 2951	05.08.2019	22.10.19	22.05.00	22:53	+49 9830-368 4922	Herr	4.568,00	4.575,00	4-318|K7G	Julia	Wagner	Schlammersdorf	Freie Hansestadt Bielefeld	Sie führten das kennzeichnungspflichtige Fahrzeug mit gefährlichen Gütern/den KOB mit Fahrgästen bzw. dessen Anhänger, obwohl die Bremsen nicht den Vorschriften entsprach und beeinträchtigen dadurch die Verkehrssicherheit. Sie gefährdeten (…) dadurch Andere.
UH -F 322	22.08.2019	15.10.2019	01.10.99	3:41	0441/704631	Frau	1.149,00	1.157,00	T8-6-1|3	Steffen	Schulz	Bernburg	Universitätsstadt Hamburg	Sie parkten unzulässig trotz Parkverbotsschild.
JE -B 7686	26.08.19	05.10.2019	09.01.1999	2:34	+49 315-799323	Frau	1.928,00	1.938,00	L|L-TL3.Y|A	Steffen	Schneider	Scheeßel-Bartelsdorf	Ordnungsamt Berlin	Sie parkten in Kurvenbereichen länger als 1 Stunde.
RP -VI 7239	04.09.19	26.10.19	10.04.1998	09:27	(01571) 801562	Frau	1.559,00	1.569,00	Q/T-SL|5/Y.72	Julia	Wagner	Neundorf	Landratsamt Hamburg	Sie führten als Halter das kennzeichnungspflichtige Fahrzeug mit gefährlichen Gütern/den KOB mit Fahrgästen bzw. dessen Anhänger, obwohl die Verbindung nicht den Vorschriften entsprach und beeinträchtigen dadurch die Verkehrssicherheit. Sie gefährdeten (…) dadurch Andere.
OG-J 2728	13.09.2019	02.10.19	12.08.1998	14:06	07038/806 4513	Frau	4.690,00	4.696,00	O/H-D-6-E6	Ben	Müller	Bad Driburg-Siebenstern	Stadtverwaltung Frankurt am Main	Sie parkten unzulässig vor/hinter einem Andreaskreuz länger als 3 Stunden mit Verkehrsbehinderung.
OA-Q 2245	02.08.2019	20.10.2019	07.10.2000	3:31	03920 / 194 7764	Frau	2.440,00	2.445,00	6-V/H-2H-X	Steffen	Schmidt	Heringsand	Freie Hansestadt Bremen	Sie überholten auf der dem Gegenverkehr vorbehaltenen Fahrbahn. Es kam zum Unfall.
GUB -G 7431	09.08.2019	18.10.2019	27.02.98	00:33	+49 9446/37-8426	Frau	645,00	654,00	4.F-I4|9.8-5	Lisa	Schulz	Ranzau	Freie und HansestadtBielefeld	Sie fuhren an einer Haltestelle bei ein- oder aussteigenden Fahrgästen rechts/an einem Omnibus des Linienverkehrs vorbei, obwohl Sie hätten warten müssen.
VIB W 8471	14.08.19	04.10.2019	26.01.2000	6:32	0880 / 93 2814	Frau	1.498,00	1.508,00	6W-JO-E.T	Lisa	Wagner	Enderndorf	Stadtamt Hamburg	Sie überholten bei unklarer Verkehrslage und folgten nicht der durch Pfeile vorgeschriebenen Fahrtrichtung.
CUX-DB 696	07.09.19	07.10.2019	15.08.97	19:13	+49 896 515489	Frau	124,00	129,00	4|S|8/V|RP3	Julia	Fischer	Fischbachau - Birkenstein	Stadtverwaltung Bremen	Sie überholten an einem Bahnübergang, ohne dass Sie jede Behinderung für den Gegenverkehr ausschließen konnten.
BRV -B 4506	30.09.19	04.10.2019	02.09.1999	21:56	(0329) - 546318	Herr	4.091,00	4.096,00	5|3.1|TH	Ben	Müller	Uttenreuth-Weiher	Stadtamt Frankurt am Main	Sie überholten bei unklarer Verkehrslage und fuhren dabei verbotswidrig über die Fahrstreifenbegrenzung. Es kam zum Unfall.
SR -R 8928	05.08.19	23.10.19	25.05.1999	14:37	(06034)/184676	Herr	1.114,00	1.119,00	1/F12/2A/U|Z	Lena	Schmidt	Glandorf	Stadt Bremen	Sie führten das kennzeichnungspflichtige Fahrzeug mit gefährlichen Gütern/den KOB mit Fahrgästen bzw. dessen Anhänger, obwohl die Bremsen nicht den Vorschriften entsprach und beeinträchtigen dadurch die Verkehrssicherheit. Es kam zum Unfall.
QLB-A 8661	10.09.19	13.10.2019	10.03.97	12:50	(09027)-586057	Frau	2.382,00	2.391,00	J4F4M|7-H5	Steffen	Schneider	Oberammergau	Seestadt Berlin	Sie begingen einen qualifizierten Rotlichtverstoß. Sie gefährdeten (…) dadurch Andere.
LC -N 1826	12.09.19	07.10.2019	07.08.1999	04:18	06442 - 833035	Herr	4.516,00	4.523,00	8-A-AS8	Ben	Müller	Versbach	Universitätsstadt Frankurt am Main	Sie parkten vor einer Feuerwehrzufahrt.
LL-C 314	17.08.2019	22.10.19	02.02.1999	00:43	08176 389611	Herr	2.263,00	2.271,00	Q4-G53/H-2O	Steffen	Wagner	Dirlewang	Ordnungsamt Bielefeld	Sie führten das Kraftfahrzeug mit einer Alkoholmenge im Körper, die zu einer Atemalkoholkonzentration von 0,25 mg/l oder mehr geführt hat.
C OV 1368	13.09.19	20.10.19	12.08.97	13:31	+49 9289 / 57-3019	Frau	3.112,00	3.117,00	J-HK/K/I68	Julia	Müller	Bad Krozingen-Biengen	Landeshauptstadt Bielefeld	Sie verhielten sich als Führer eines kennzeichnungspflichtigen Kraftfahrzeugs mit gefährlichen Gütern bei einer Sichtweite unter 50 m/Schneeglätte oder Glatteis (…) nicht so, dass eine Gefährdung Anderer ausgeschlossen war. Es kam zum Unfall.
OHV JC 3844	09.09.19	23.10.2019	16.03.00	8:28	03514/60295	Frau	2.235,00	2.241,00	089/J/48	Julia	Hofmann	Verden-Eitze	Stadtverwaltung Hamburg	Sie versäumten es, das Fahrzeug rechtzeitig zur fälligen Sicherheitsprüfung anzumelden. Termin überschritten um > 8 Monate.
REG-KB 2281	20.08.19	26.10.2019	13.11.1997	6:50	07962 493 1997	Herr	4.595,00	4.605,00	EFJE|V.V/O-J|5	Thomas	Hofmann	Neunkirchen-Seelscheid	Landeshauptstadt Bielefeld	Sie benutzten vorschriftswidrig den Seitenstreifen.
NL -IA 6867	01.09.19	19.10.19	28.10.1999	6:46	(0539) 681068	Herr	3.120,00	3.127,00	39|9-V.4|UM	Thomas	Wagner	Coswig OT Sörnewitz	Freie und HansestadtFrankurt am Main	Sie führten das Kraftfahrzeug mit einer Alkoholmenge im Körper, die zu einer Blutalkoholkonzentration von 0,5 Promille oder mehr geführt hat.
ESW -K 3750	12.09.2019	08.10.19	29.09.2000	19:11	+49 1989-727-8732	Herr	1.957,00	1.964,00	B/3|3JT	Julia	Wagner	Marktleugast	Freie Hansestadt Bielefeld	Sie gaben missbräuchlich Schallzeichen/Leuchtzeichen.
FW -KA 9743	16.08.2019	24.10.2019	29.12.99	01:28	+49 6265/65 3825	Frau	3.130,00	3.137,00	5E/Z-8|ARO7	Julia	Hofmann	Montabaur	Kreis Bielefeld	Sie fuhren nicht möglichst weit rechts.
WE KI 2804	04.08.2019	19.10.2019	14.05.1999	08:04	(06897) 700440	Frau	2.665,00	2.670,00	O-S.G|7-625.UT	Julia	Schneider	Großenstein	Polizeipräsidium München	Sie wendeten auf der Straße und ließen dabei die Ihnen obliegende besondere Vorsicht außer Acht und gefährdeten (…) dadurch Andere.
ROT-LN 5396	07.08.2019	28.10.2019	08.05.2000	01:41	08899-392 9427	Frau	2.989,00	2.997,00	95/V.8SL/1-U	Ben	Müller	Pronsfeld	Stadtamt Berlin	Sie ordneten sich nach dem Überholen wieder ein, ohne es rechtzeitig anzukündigen.
FT YF 9646	09.09.2019	19.10.19	24.07.97	20:11	(04812) / 278-660	Frau	798,00	803,00	W8.MJZ-9EC	Lena	Schneider	Engelade	Altmarkkreis Bremen	Sie nahmen das Fahrzeug in Betrieb, obwohl die Betriebserlaubnis erloschen war.
HOM -B 3016	14.09.19	05.10.19	10.10.1997	01:31	(06950) / 878-5161	Frau	1.097,00	1.107,00	5.8|B-O	Thomas	Schmidt	Byhleguhre-Byhlen	Regierungspräsidium München	Sie begingen einen A-Verstoß mit Alkohol und Drogen.
DO YB 5055	26.08.19	19.10.2019	28.08.00	18:21	04239 / 819571	Frau	246,00	254,00	0S/24/PJ/6-2	Julia	Müller	Paderborn-Widey	Städteregion Paderborn	Sie nahmen den Lkw/KOB bzw. dessen Anhänger in nicht vorschriftsmäßigem Zustand in Betrieb und beeinträchtigen dadurch die Verkehrssicherheit.
OPR -Q 7957	18.09.2019	27.10.2019	11.02.2000	21:08	(03218) 485939	Frau	4.614,00	4.622,00	J-G5-9N916-S5	Ben	Schmidt	Hornow-Wadelsdorf	Ordnungsamt München	Sie sicherten Ihr liegen gebliebenes mehrspuriges Fahrzeug nicht vorschriftsmäßig ab.
LDS BL 6850	28.08.2019	10.10.19	10.01.00	03:53	+49 1409 - 907436	Herr	3.481,00	3.486,00	V-FA/FX-S	Steffen	Fischer	Niedersachswerfen	Regierungspräsidium Bremen	Sie ermäßigten nicht ihre Geschwindigkeit/warteten nicht (…) als Fahrer eines langsameren Fahrzeugs, um so mehreren unmittelbar folgenden Fahrzeugen das Überholen zu ermöglichen.
MZG B 5518	02.08.2019	15.10.19	12.01.1999	20:16	(08026) - 611 3418	Herr	2.679,00	2.688,00	M.5.P5E90	Thomas	Müller	Schneeberg	Freie und HansestadtFrankurt am Main	Sie fuhren von einem Straßenteil auf die Fahrbahn, ohne den Fahrtrichtungsanzeiger zu benutzen.
KH BV 7056	29.09.19	27.10.19	19.02.00	05:16	(01592) / 662 7826	Herr	222,00	231,00	R/VU-6Q	Steffen	Schulz	Sedelsberg	Landratsamt Bremen	Sie bogen ab, ohne die Fahrtrichtungsänderung rechtzeitig und deutlich anzukündigen. Sie gefährdeten (…) dadurch Andere.
